abbreviation,company_name,sector,country
OKE,"ONEOK, Inc.",Energy,United States
OMC,Omnicom Group Inc.,Communication Services,United States
ORCL,Oracle Corporation,Technology,United States
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,United States
OXY,Occidental Petroleum Corporatio,Energy,United States
O,Realty Income Corporation,Real Estate,United States
PAYX,"Paychex, Inc.",Technology,United States
PCAR,PACCAR Inc.,Industrials,United States
PCG,Pacific Gas & Electric Co.,Utilities,United States
PDCO,"Patterson Companies, Inc.",Healthcare,United States
PEG,Public Service Enterprise Group,Utilities,United States
PEP,"Pepsico, Inc.",Consumer Defensive,United States
PFE,"Pfizer, Inc.",Healthcare,United States
PFG,Principal Financial Group Inc,Financial Services,United States
PGR,Progressive Corporation (The),Financial Services,United States
PG,Procter & Gamble Company (The),Consumer Defensive,United States
PHM,"PulteGroup, Inc.",Consumer Cyclical,United States
PH,Parker-Hannifin Corporation,Industrials,United States
PKG,Packaging Corporation of Americ,Consumer Cyclical,United States
PLD,"Prologis, Inc.",Real Estate,United States
PM,Philip Morris International Inc,Consumer Defensive,United States
PNC,"PNC Financial Services Group, I",Financial Services,United States
PNR,Pentair plc.,Industrials,United Kingdom
PNW,Pinnacle West Capital Corporati,Utilities,United States
PPG,"PPG Industries, Inc.",Basic Materials,United States
PPL,PPL Corporation,Utilities,United States
PRGO,Perrigo Company plc,Healthcare,Ireland
PRU,"Prudential Financial, Inc.",Financial Services,United States
PSA,Public Storage,Real Estate,United States
PSX,Phillips 66,Energy,United States
PVH,PVH Corp.,Consumer Cyclical,United States
PWR,"Quanta Services, Inc.",Industrials,United States
PX,"P10, Inc.",Financial Services,United States
PYPL,"PayPal Holdings, Inc.",Financial Services,United States
QCOM,QUALCOMM Incorporated,Technology,United States
QRVO,"Qorvo, Inc.",Technology,United States
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,United States
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,United States
REG,Regency Centers Corporation,Real Estate,United States
RF,Regions Financial Corporation,Financial Services,United States
RHI,Robert Half Inc.,Industrials,United States
RJF,"Raymond James Financial, Inc.",Financial Services,United States
RL,Ralph Lauren Corporation,Consumer Cyclical,United States
RMD,ResMed Inc.,Healthcare,United States
ROK,"Rockwell Automation, Inc.",Industrials,United States
ROP,"Roper Technologies, Inc.",Technology,United States
ROST,"Ross Stores, Inc.",Consumer Cyclical,United States
RRC,Range Resources Corporation,Energy,United States
RSG,"Republic Services, Inc.",Industrials,United States
SBAC,SBA Communications Corporation,Real Estate,United States
SBUX,Starbucks Corporation,Consumer Cyclical,United States
SCHW,Charles Schwab Corporation (The,Financial Services,United States
SEE,Sealed Air Corporation,Consumer Cyclical,United States
SHW,Sherwin-Williams Company (The),Basic Materials,United States
SIG,Signet Jewelers Limited,Consumer Cyclical,Bermuda
SJM,The J.M. Smucker Company,Consumer Defensive,United States
SLB,Schlumberger N.V.,Energy,United States
SLG,SL Green Realty Corp,Real Estate,United States
SNA,Snap-On Incorporated,Industrials,United States
SNPS,"Synopsys, Inc.",Technology,United States
SO,Southern Company (The),Utilities,United States
SPGI,S&P Global Inc.,Financial Services,United States
SPG,"Simon Property Group, Inc.",Real Estate,United States
SRCL,"Stericycle, Inc.",Industrials,United States
SRE,DBA Sempra,Utilities,United States
STI,"Solidion Technology, Inc.",Industrials,United States
STT,State Street Corporation,Financial Services,United States
STX,Seagate Technology Holdings PLC,Technology,Singapore
STZ,"Constellation Brands, Inc.",Consumer Defensive,United States
SWKS,"Skyworks Solutions, Inc.",Technology,United States
SWK,"Stanley Black & Decker, Inc.",Industrials,United States
SYF,Synchrony Financial,Financial Services,United States
SYK,Stryker Corporation,Healthcare,United States
SYY,Sysco Corporation,Consumer Defensive,United States
TAP,Molson Coors Beverage Company,Consumer Defensive,United States
TDG,Transdigm Group Incorporated,Industrials,United States
TEL,TE Connectivity Ltd. New Switze,Technology,Switzerland
TGT,Target Corporation,Consumer Defensive,United States
TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,United States
TMO,Thermo Fisher Scientific Inc,Healthcare,United States
TPR,"Tapestry, Inc.",Consumer Cyclical,United States
TRIP,"TripAdvisor, Inc.",Consumer Cyclical,United States
TROW,"T. Rowe Price Group, Inc.",Financial Services,United States
TRV,"The Travelers Companies, Inc.",Financial Services,United States
TSCO,Tractor Supply Company,Consumer Cyclical,United States
TSN,"Tyson Foods, Inc.",Consumer Defensive,United States
TXN,Texas Instruments Incorporated,Technology,United States
TXT,Textron Inc.,Industrials,United States
T,AT&T Inc.,Communication Services,United States
UAA,"Under Armour, Inc.",Consumer Cyclical,United States
UAL,"United Airlines Holdings, Inc.",Industrials,United States
UA,"Under Armour, Inc.",Consumer Cyclical,United States
UDR,"UDR, Inc.",Real Estate,United States
UHS,"Universal Health Services, Inc.",Healthcare,United States
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,United States
UNH,UnitedHealth Group Incorporated,Healthcare,United States
UNM,Unum Group,Financial Services,United States
